Id,Command,Label,Group,ValueType,Pair,DefaultPrimary,DefaultAlt,DefaultPad
Move,,Move,Movement,Axis2D,False,,,Gamepad_Left2D
Look,,Look,Camera,Axis2D,False,,,Gamepad_Right2D
MouseLook,,Mouse Look,Camera,Axis2D,False,Mouse2D,,
Jump,+jump,Jump,Movement,Boolean,True,,,Gamepad_FaceButton_Bottom
Use,+use,Use,Interaction,Boolean,True,,,Gamepad_RightShoulder
Feed,+feed,Feed,Interaction,Boolean,True,,,Gamepad_FaceButton_Top
Duck,+duck,Crouch,Movement,Boolean,True,,,Gamepad_LeftThumbstick
Camera,togglecamera,Camera Mode,Camera,Boolean,False,,,Gamepad_RightThumbstick
WeaponNext,invnext,Next Weapon,Combat,Boolean,False,,,Gamepad_DPad_Right
WeaponPrev,invprev,Previous Weapon,Combat,Boolean,False,,,Gamepad_DPad_Left
