table	offset	size	member	type	field_type	count	flags	layer	tier	writers	readers
CAI_BaseNPCTroika	0x0000		vftable	vftable*		1		CAI_BaseNPCTroika	walked	67	2
CAI_BaseNPCTroika	0x0004		m_szDebugEntityName	char		32		CAI_BaseNPCTroika	walked	0	3
CAI_BaseNPCTroika	0x0008		m_szDebugEntityName[4]	char		1		CAI_BaseNPCTroika	walked	0	1
CAI_BaseNPCTroika	0x0024		m_szDebugClassName	char		32		CAI_BaseNPCTroika	walked	26	17
CAI_BaseNPCTroika	0x004c	0x4	m_edtDerivedType	int	FIELD_INTEGER	1		CBaseEntity	datamap	14	13
CAI_BaseNPCTroika	0x0050		m_vecAttackExtents	Vector		1		CBaseEntity	walked	6	5
CAI_BaseNPCTroika	0x0054		m_vecAttackExtents.y	float		1		CBaseEntity	walked	10	9
CAI_BaseNPCTroika	0x0058		m_vecAttackExtents.z	float		1		CBaseEntity	walked	5	3
CAI_BaseNPCTroika	0x005c	0x18	m_OnUseBegin	COutputEvent	FIELD_CUSTOM	1	KEY OUTPUT key=OnUseBegin	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0074	0x18	m_OnUseEnd	COutputEvent	FIELD_CUSTOM	1	KEY OUTPUT key=OnUseEnd	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x008c		m_hUseActivator	EHANDLE		1		CBaseEntity	walked	3	0
CAI_BaseNPCTroika	0x0090		m_flForceTransmitUntil	float		1		CBaseEntity	walked	3	3
CAI_BaseNPCTroika	0x0094		m_pBaseNPC	CAI_BaseNPC*		1		CBaseEntity	walked	2	5
CAI_BaseNPCTroika	0x0098		m_pBaseNPCTroika	CAI_BaseNPCTroika*		1		CBaseEntity	walked	2	30
CAI_BaseNPCTroika	0x009c		m_pCombatCharacter	CBaseCombatCharacter*		1		CBaseEntity	walked	2	5
CAI_BaseNPCTroika	0x00a0		m_pCombatWeapon	CBaseCombatWeapon*		1		CBaseEntity	walked	1	1
CAI_BaseNPCTroika	0x00a8		m_pPlayer	CBasePlayer*		1		CBaseEntity	walked	1	41
CAI_BaseNPCTroika	0x00ac		m_pAnimal	CNPC_VAnimal*		1		CBaseEntity	walked	2	2
CAI_BaseNPCTroika	0x00b4		m_iVSoundGroup	int		1		CBaseEntity	walked	4	3
CAI_BaseNPCTroika	0x00b8		m_iVSoundGroupFemale	int		1		CBaseEntity	walked	1	1
CAI_BaseNPCTroika	0x00bc		m_iVSoundTableIdx	int		1		CBaseEntity	walked	6	1
CAI_BaseNPCTroika	0x00c0	0x4	m_iszVSoundGroup	string_t	FIELD_STRING	1	KEY key=soundgroup	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00dc	0x4	m_impactEnergyScale	float	FIELD_FLOAT	1	KEY INPUT key=physdamagescale	CBaseCombatCharacter	datamap	1	2
CAI_BaseNPCTroika	0x00e0	0x1	m_bStartHidden	bool	FIELD_BOOLEAN	1	KEY key=StartHidden	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00e4	0x4	m_pfnScriptSavedThink	BASEPTR	FIELD_FUNCTION	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00e8	0x4	m_ScriptSavedSolid	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00ec	0x4	m_ScriptSavedMoveType	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00f0	0x4	m_ScriptSavedMoveCollide	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00f4	0x1	m_bScriptHidden	bool	FIELD_BOOLEAN	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00f6	0x2	m_ScriptSavedSolidFlags	short	FIELD_SHORT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00f8	0x4	m_fScriptSavedEffects	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00fc	0x1	m_bNPCTransparent	bool	FIELD_BOOLEAN	1	KEY key=npc_transparent	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00fd	0x1	m_bBlocksTraces	bool	FIELD_BOOLEAN	1	KEY key=blocks_traces	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x00fe	0x1	m_bOccludesSound	bool	FIELD_BOOLEAN	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0100	0x4	m_hSoundOverrideEnt	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0104	0x1	m_bFakeSilence	bool	FIELD_BOOLEAN	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0108	0x4	m_iszScriptedSoundOverrideEnt	string_t	FIELD_STRING	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x010c	0x4	m_hLastInputActivator	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0110	0x4	m_hLastInputCaller	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0114		m_pfnMoveDone	BASEPTR		1		CBaseEntity	sdk-order	1	2
CAI_BaseNPCTroika	0x0118	0x4	m_pfnThink	BASEPTR	FIELD_FUNCTION	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x011c	0x4	m_iClassname	string_t	FIELD_STRING	1	KEY key=classname	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0120	0x4	m_iGlobalname	string_t	FIELD_STRING	1	GLOBAL KEY key=globalname	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0124	0x4	m_iParent	string_t	FIELD_STRING	1	KEY key=parentname	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0128	0x4	m_iDialog	string_t	FIELD_STRING	1	KEY key=dialogname	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x012c	0x1	m_bBlocked	bool	FIELD_BOOLEAN	1	KEY key=blocked	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0130	0x30	m_rgflCoordinateFrame	float	FIELD_FLOAT	12		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0160	0x4	m_flStartFrameLocalTime	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0164	0x4	m_flSpeed	float	FIELD_FLOAT	1	KEY key=speed	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0168	0x4	m_nRenderFX	int	FIELD_INTEGER	1	KEY key=renderfx	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x016c	0x4	m_nRenderMode	int	FIELD_INTEGER	1	KEY key=rendermode	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0170	0x4	m_flPrevAnimTime	float	FIELD_TIME	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0174	0x4	m_flAnimTime	float	FIELD_TIME	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0178	0x4	m_flLastThink	float	FIELD_TIME	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x017c	0x4	m_flNextThink	float	FIELD_TIME	1	KEY key=nextthink	CBaseEntity	datamap	7	0
CAI_BaseNPCTroika	0x0180	0x4	m_flNextThinkSR	float	FIELD_FLOAT	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0184	0xc	m_vecViewOffset	Vector	FIELD_VECTOR	1	KEY key=view_ofs	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0190	0xc	m_vecMoveDir	Vector	FIELD_VECTOR	1	KEY key=movedir	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x019c	0x4	m_fEffects	int	FIELD_INTEGER	1	KEY key=effects	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01a0	0x4	m_clrRender	color32	FIELD_COLOR32	1	KEY key=rendercolor	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01a4	0x4	m_nModelIndex	int	FIELD_INTEGER	1	KEY key=modelindex	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01ac		touchStamp	int		1		CBaseEntity	sdk-order	1	3
CAI_BaseNPCTroika	0x01b0		m_NetworkChangeState	CEntityNetworkChangeState		1		CBaseEntity	walked	0	2
CAI_BaseNPCTroika	0x01b1		m_NetworkChangeState.m_bChanged	bool		1		CBaseEntity	walked	12	0
CAI_BaseNPCTroika	0x01b8	0x34	m_aThinkFunctions	custom	FIELD_CUSTOM	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01bc		m_aThinkFunctions.m_Memory.m_nAllocationCount	int		1		CBaseEntity	sdk-order	2	1
CAI_BaseNPCTroika	0x01c0		m_aThinkFunctions.m_Memory.m_nGrowSize	int		1		CBaseEntity	sdk-order	0	2
CAI_BaseNPCTroika	0x01c4		m_aThinkFunctions.m_Size	int		1		CBaseEntity	sdk-order	1	3
CAI_BaseNPCTroika	0x01c8		m_aThinkFunctions.m_pElements	thinkfunc_t*		1		CBaseEntity	sdk-order	3	0
CAI_BaseNPCTroika	0x01cc		m_iCurrentThinkContext	int		1		CBaseEntity	sdk-order	1	2
CAI_BaseNPCTroika	0x01d0		m_ResponseContexts	CUtlVector<ResponseContext_t>		1		CBaseEntity	sdk-order	0	1
CAI_BaseNPCTroika	0x01d4		m_ResponseContexts.m_Memory.m_nAllocationCount	int		1		CBaseEntity	sdk-order	2	0
CAI_BaseNPCTroika	0x01d8		m_ResponseContexts.m_Memory.m_nGrowSize	int		1		CBaseEntity	sdk-order	0	2
CAI_BaseNPCTroika	0x01e0		m_ResponseContexts.m_pElements	ResponseContext_t*		1		CBaseEntity	sdk-order	2	0
CAI_BaseNPCTroika	0x01e4		m_iszResponseContext	string_t		1		CBaseEntity	sdk-order	0	1
CAI_BaseNPCTroika	0x01ec	0x4	m_pfnTouch	BASEPTR	FIELD_FUNCTION	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01f0	0x4	m_pfnUse	BASEPTR	FIELD_FUNCTION	1		CBaseEntity	datamap	1	0
CAI_BaseNPCTroika	0x01f4	0x4	m_pfnBlocked	BASEPTR	FIELD_FUNCTION	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x01f8		m_pLink	CBaseEntity*		1		CBaseEntity	walked	0	1
CAI_BaseNPCTroika	0x01fc	0x4	m_takedamage	int	FIELD_INTEGER	1		CBaseEntity	datamap	2	0
CAI_BaseNPCTroika	0x0200	0x4	m_lifeState	int	FIELD_INTEGER	1		CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0204	0x4	m_spawnflags	int	FIELD_INTEGER	1	KEY key=spawnflags	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0208	0x4	m_iMaxHealth	int	FIELD_INTEGER	1	KEY key=max_health	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x020c	0x4	m_target	string_t	FIELD_STRING	1	KEY key=target	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0210	0x4	m_iHealth	int	FIELD_INTEGER	1	KEY key=health	CBaseEntity	datamap	1	0
CAI_BaseNPCTroika	0x0214	0x4	m_iszUseFilterName	string_t	FIELD_STRING	1	KEY key=use_filter_name	CBaseEntity	datamap		
CAI_BaseNPCTroika	0x0218	0x4	m_hUseFilter	EHANDLE	FIELD_EHANDLE	1		CBaseEntity	datamap		
