slot	class	method	return	params	const	tier	retail_words	sdk_words
0		SetRefEHandle	void	const CBaseHandle&		walked	1	
1		GetRefEHandle	CBaseHandle&		const	sdk	0	0
2		GetCollideable	ICollideable*			walked	0	
3		GetNetworkable	IServerNetworkable*			walked	0	
4		GetBaseEntity	CBaseEntity*			walked	0	
5		~CBaseEntity	void*	unsigned int		walked	1	
6		SetCheckUntouch	void	bool		sdk	1	1
7		SetSentLastFrame	void	bool		walked	1	
8		GetModelIndex	int		const	sdk	0	0
9		GetModelName	string_t		const	sdk	1	0
10		SetModelIndex	void	int		sdk	1	1
11		DebugSetEntityName	void	const char*		walked	1	
12		DebugGetEntityName	const char*			walked	0	
13		DebugSetClassName	void	const char*		walked	1	
14		DebugGetClassName	const char*			walked	0	
15		SetAttackExtents	void	const Vector&		walked	1	
16		GetAttackExtents	Vector			walked	1	
17		TraceMessage	void	const char*, int	const	walked	2	
18		TraceMessage	void	const char*, int		walked	2	
19		TraceMessageBare	void	const char*	const	walked	1	
20		TraceMessageBare	void	const char*		walked	1	
21			void	CBaseEntity*		walked	1	
22			void	CBaseEntity*		walked	1	
23			void	CBaseEntity*		walked	1	
24		OnVictimHitByMe	void	CBaseEntity*		walked	1	
25			void	CBaseEntity*		walked	1	
26			void	CBaseEntity*		walked	1	
27			void	CBaseEntity*		walked	1	
28		GetStealthVisionScalar	float			walked	0	
29		GetStealthVisionCone	float			walked	0	
30		GetStealthHearingDist	float			walked	0	
31		Dump	void	int		walked	1	
32		CanBeInteractiveUsed	bool	CBaseEntity*		walked	1	
33			int			walked	0	
34		GetHighlightMaterial	int	CBaseEntity*		walked	1	
35			int	CBaseEntity*		walked	1	
36			const char*			walked	0	
37			float			walked	0	
38			CBaseEntity*	CBaseEntity*		walked	1	
39		OnUseBegin	void	CBaseEntity*		walked	1	
40			void	CBaseEntity*		walked	1	
41			void	CBaseEntity*		walked	1	
42		OnUseEnd	void	CBaseEntity*		walked	1	
43			void	CBaseEntity*		walked	1	
44			bool	CBaseEntity*		walked	1	
45		PassesFindEntityFOVTrace	bool	CBaseEntity*, Vector, Vector, int		walked	8	
46			void			walked	0	
47			void			walked	0	
48			float			walked	0	
49			float			walked	0	
50		GetCameraViewpointPosition	void	Vector&		walked	1	
51		GetCameraTargetPosition	void	const Vector&, Vector&		walked	2	
52		GetCameraFadeInTime	float			walked	0	
53		GetCameraFadeOutTime	float			walked	0	
54			bool	CBaseEntity*		walked	1	
55			void	CBaseEntity*, Vector, Vector		walked	7	
56			void	CBaseEntity*, Vector, Vector, const char*		walked	8	
57			void	CBaseEntity*, Vector, Vector		walked	7	
58			void	CBaseEntity*		walked	1	
59			void	CSceneEntity*		walked	1	
60			void	CSceneEntity*		walked	1	
61			void	CSceneEntity*		walked	1	
62		SetOrigin	void	const Vector&		walked	1	
63		SetOrigin	void	float, float, float		walked	3	
64		SetAngles	void	const QAngle&		walked	1	
65		SetAngles	void	float, float, float		walked	3	
66		Hide	void			walked	0	
67		Unhide	void			walked	0	
68		ShouldIgnoreCollision	bool	CBaseEntity*		walked	1	
69		NavIgnoreCollision	bool	CBaseEntity*		walked	1	
70		IsMonster	bool			walked	0	
71		PrecacheSoundTable	void			walked	0	
72			bool	int		walked	1	
73		CausesImpactDamage	bool	CBaseEntity*		walked	1	
74		ReceivesImpactDamage	bool	CBaseEntity*		walked	1	
75		TakeDamageFromCollision	void	int, gamevcollisionevent_t*		walked	2	
76		DrawDebugStatOverlays	void			walked	0	
77		ScriptHide	void			walked	0	
78		ScriptUnhide	void			walked	0	
79		GetPredDescMap	datamap_t*			walked	0	
80		GetServerClass	ServerClass*			walked	0	
81		YouForgotToImplementOrDeclareServerClass	int			walked	0	
82		GetDataDescMap	datamap_t*			walked	0	
83		GetEFlags	int			walked	0	
84		SetEFlags	void	int		walked	1	
85		GetEdict	edict_t*			walked	0	
86		ShouldTransmit	bool	int, const edict_t*, const void*, int, int		walked	5	1
87		SetTransmit	void	CCheckTransmitInfo*		walked	1	2
88			bool			walked		
89			void			walked		
90		IsTransparent	bool		const	sdk	0	0
91		ShouldCollide	bool	int, int	const	walked	2	
92		GetSolid	SolidType_t		const	sdk	0	0
93		SetMoveType	void	MoveType_t, MoveCollide_t		sdk	2	2
94		GetMoveType	MoveType_t		const	sdk	0	0
95		GetMoveCollide	MoveCollide_t		const	sdk	0	0
96		GetAimEntEdict	edict_t*			walked	0	
97		GetOwnerEntity	CBaseEntity*		const	sdk	0	0
98		CalcAbsolutePosition	void			sdk	0	0
99		TestCollision	bool	Ray_t&, unsignedint, trace_t&		sdk	3	3
100		TestHitboxes	bool	Ray_t&, unsignedint, trace_t&		sdk	3	3
101		ComputeWorldSpaceSurroundingBox	void	Vector*, Vector*		walked	2	
102		Physics_TraceEntity	void	CBaseEntity*, const Vector&, const Vector&, unsigned int, trace_t*		walked	5	
103		Spawn	void			sdk	0	0
104		Precache	void			sdk	0	0
105		SetModel	void	char*		sdk	1	1
106		PostConstructor	void	char*		sdk	1	1
107		ParseMapData	void	CEntityMapData*		sdk	1	1
108		KeyValue	bool	const char*, Vector		walked	4	
109		KeyValue	bool	const char*, float		walked		
110		KeyValue	bool	const char*, const char*		walked	2	
111		MemberSync	void			walked	0	
112			void	int, int		walked	2	
113		Activate	void			sdk	0	0
114		PostClientMessagesSent	void			walked	0	
115			void	CBaseEntity*		walked	1	
116		IsMarkedForDeletion	bool			walked	0	
117		ObjectCaps	int			walked	0	
118		AcceptInput	bool	char*, CBaseEntity*, CBaseEntity*, variant_t, int		sdk	9	9
119		Kill	void			walked	0	
120		GetInputDispatchEffectPosition	void	char*, Vector&, QAngle&		sdk	3	3
121		ReadKeyField	bool	char*, variant_t*		sdk	2	2
122		SetClassname	void	char*		sdk	1	1
123		DrawDebugGeometryOverlays	void			sdk	0	0
124		DrawDebugTextOverlays	int			sdk	0	0
125		DrawMuzzleOverlay	void			walked	0	
126		Save	int	ISave&		sdk	1	1
127		Restore	int	IRestore&		walked	1	
128		ShouldSavePhysics	bool			sdk	0	0
129		OnSave	void			walked	0	1
130		OnRestore	void	bool		walked	1	0
131		RequiredEdictIndex	int			walked	0	
132			void			walked	0	
133		MoveDone	void			walked	0	
134		Think	void			walked	0	
135			float	float		walked	1	
136			bool			walked	0	
137		GetBaseAnimating	CBaseAnimating*			walked	0	
138		Classify	Class_T			sdk	0	0
139		DeathNotice	void	CBaseEntity*		walked	1	
140		PassesDamageFilter	bool	CTakeDamageInfo&		sdk	1	1
141		TraceAttack	void	const CTakeDamageInfo&, const Vector&, trace_t*		walked	3	4
142		OnTakeDamage	int	CTakeDamageInfo&		sdk	1	1
143		TakeHealth	int	float, int		sdk	2	2
144		Event_Killed	void	CTakeDamageInfo&		sdk	1	1
145		BloodColor	int			walked	0	
146		TraceBleed	void	CVDmg_t*, const Vector&, trace_t*		walked	3	
147		IsTriggered	bool	CBaseEntity*		walked	1	
148		AddPoints	void	int, bool		walked	2	
149		AddPointsToTeam	void	int, bool		walked	2	
150		AddPlayerItem	bool	CBaseCombatWeapon*		walked	1	
151		RemovePlayerItem	bool	CBaseCombatWeapon*		walked	1	
152		GetDelay	float			walked	0	
153		IsMoving	bool			walked	0	
154		DamageDecal	int	int, int		walked	2	
155		DecalTrace	void	trace_t*, int, bool, int, CBaseEntity*, int, bool		walked	7	2
156			void	int		unsettled	1	
157		OnControls	bool	CBaseEntity*		walked	1	
158		IsAlive	bool			walked	0	
159		ReflectGauss	bool			walked	0	
160		HasTarget	bool	string_t		sdk	1	1
161		HasLinkedDoor	bool	string_t		walked	1	
162		IsPlayer	bool			walked	0	
163		IsViewable	bool			sdk	0	0
164		IsStandable	bool			walked	0	
165		CanStandOn	bool	edict_t*		walked	1	
166		CanStandOn	bool	CBaseEntity*		walked	1	
167		GetEnemy	CBaseEntity*		const	walked	0	
168		GetEnemy	CBaseEntity*			walked	0	
169		ViewPunch	void	const QAngle&		walked	1	
170		VelocityPunch	void	const Vector&		walked	1	
171		SetMovedir	void			walked	0	
172		GetNextTarget	CBaseEntity*			sdk	0	0
173		Use	void	CBaseEntity*, CBaseEntity*, USE_TYPE, float		sdk	4	4
174		StartTouch	void	CBaseEntity*		sdk	1	1
175		Touch	void	CBaseEntity*		sdk	1	1
176		EndTouch	void	CBaseEntity*		sdk	1	1
177		StartBlocked	void	CBaseEntity*		sdk	1	1
178		Blocked	void	CBaseEntity*		sdk	1	1
179		EndBlocked	void			walked	0	
180		UpdateOnRemove	void			sdk	0	0
181		Teleport	void	Vector*, QAngle*, Vector*		sdk	3	3
182			void	int, int, int, int		unsettled	4	
183		NotifySystemEvent	void	CBaseEntity*, notify_system_event_t, const notify_system_event_params_t&		walked	3	
184		MakeTracer	void	const Vector&, const trace_t&, int		walked	3	
185		FireBullets	void	const FireBulletsInfo_t&		walked	1	
186			bool			walked	0	
187		Respawn	CBaseEntity*			walked	0	
188		IsLockedByMaster	bool			walked	0	
189		GetDamageType	int		const	sdk	0	0
190		GetDamage	float			walked	0	
191		SetDamage	void	float		walked	1	
192		WorldSpaceCenter	Vector			walked	1	
193		EyePosition	Vector			walked	1	
194		EyeAngles	const QAngle&			walked		
195		LocalEyeAngles	const QAngle&			walked		
196		EarPosition	Vector			walked	1	
197		BodyTarget	Vector	const Vector&, bool, bool		walked	4	
198			const Vector&			walked	0	
199		GetVelocity	void	Vector*, AngularImpulse*		sdk	2	2
200		Illumination	int			walked	0	
201		FVisible	bool	CBaseEntity*, int, CBaseEntity**, int		walked	4	3
202		SetOwnerEntity	void	CBaseEntity*		sdk	1	1
203		GetAttackDamageScale	float			walked	0	1
204		GetReceivedDamageScale	float			walked	0	1
205			bool			walked	0	
