# The NPC kernel's tunables: one row per retail number a kernel body reads (spec 0019 story 4).
#
# `uv run elysium research gen_kernel_tunables` renders this file into
# `Source/ElysiumUE/Private/Substrate/ElysiumNpcKernelTunables.h/.cpp`; its `--check` compares the
# committed files AND reads every row back out of the pinned `Vampire/dlls/vampire.dll` at the
# width the row states. A body reads the NAME; the address and its provenance live here, once.
#
#   address   the image VA, lower-case, no `0x`: the cell, the instruction (imm_*), or the ConVar
#             OBJECT (the oracle's `DAT_` pointer is object + 4)
#   name      PascalCase, unique; the C++ name in `namespace ElysiumNpcTunables`. A cell MSVC
#             pooled (one literal every body that spelled it shares — 1.0f, 0.5f, 100.0f) has no
#             single meaning and is named by its VALUE (`One`, `Half`, `HalfDouble`); a cell one
#             body owns is named by what it bounds. A body binds its own role name to the tunable.
#   type      f32 | f64 | i32 | u32    an .rdata/.data cell at that width (the reading
#                                      instruction's: `dword ptr` f32, `qword` / `double ptr` f64)
#             imm_f32 | imm_i32        a PUSH imm32 / MOV r/m32, imm32 at the address
#             convar_f32 | convar_i32  a ConVar read at +0x28 (float) or +0x2c (int)
#   value     the shortest decimal that rounds to the stored bits, or a ConVar's default string
#             verbatim (`ConVar::Create` parses it with atof and atoi)
#   evidence  one line: the reading instruction, the readers, what it bounds; a ConVar row opens
#             with the console name in backticks
#
# Seeded 2026-09-22 from `docs/vtmb/npc-ai/rdata-cells.md` (31 of its 32 cells: the reflected
# CRC-32 table at 0x10496f58 is a standard table under a mechanism body, not a threshold),
# `convars.md` (all 42), and the movement cells the 0019/1 seam rows keep "as a tunable". The rest
# of the kernel's inline cells move here family by family as 0019/6 touches them; `--report` is
# that queue.
#
address	name	type	value	evidence
104454c4	Zero	f32	0.0	the pooled float 0.0; `_DAT_104454c4` in the species, boss and base-helper families' zero tests
104454d0	Half	f32	0.5	`0x102d0d9f FMUL float ptr`; readers `0x102d0b60`, `0x102aa210`, `0x10295ed0`, `0x1026ab50`, `0x1026e5e0` (244 refs); hint-angle, OUTOF-wait and forward-floor scale, and CheckOnGround's deadline interval
10449154	WerewolfStuckHullScale	f32	0.45	`0x103cbe9d FMUL float ptr`; `CNPC_VWerewolf::CheckStuck 0x103cb920` (4 refs); small-hull third-extent scale
10449270	HalfDouble	f64	0.5	`0x10182c76 FSUB double ptr`; `0x10182c40`, `0x1032fc50`, `0x102e14a0` (185 refs); shared half-factor: whisper lead-in, motor step, pose wrap
10449280	OneDouble	f64	1.0	`0x101a7059 FADD double ptr`; `CCineNPC::Spawn 0x101a6f10`, `0x1026ab50`, `0x1026fcf0`, `0x10357be0` (303 refs); cine delay and clear-trace fraction
104492e0	HeadProbeExtentEpsilon	f64	1e-06	`0x1026ac73 FCOMP double ptr`; `0x1026ab50` (40 refs); head-probe extent epsilon
10449e10	CineStartTimeOffset	f64	1000000.0	`0x101a7076 FADD double ptr`; `CCineNPC::Spawn 0x101a6f10` (6 refs); named-cine start-time offset
1044c3a8	OneEighty	f32	180.0	`0x102aa09c FCOMP float ptr`; `0x102a9f40`, `0x10297a20` (61 refs); half-turn yaw
1044e658	HundredthDouble	f64	0.01	`0x102cd2e9 FADD double ptr`; `0x102cd2d0`, `0x102e0f90`, `0x101618e0` (64 refs); think/arrival-radius offset
1044fab0	ZeroDouble	f64	0.0	`0x102e15e2 FCOMP double ptr`; `0x102e1560`, `0x102e1300` (111 refs); zero-step / no-slow sentinel, CAI_Motor slot 16's speed threshold
