# Names the corpus applies on top of the Ghidra dump.
#
# tier: binary = the image states it (a VProf scope, RTTI, an export)
#       doc    = a docs/ topic file states it beside the address
#       inferred = argued from call sites or slot position, and nothing else
#
# `corpus names --apply` writes these; `build` and `reindex` re-apply them. A row
# removed from this file is reverted to whatever the dump called it. A row that
# disagrees with a name the dump recovered is reported and NOT applied.
module	addr	name	tier	evidence
client.dll	100935a0	C_BaseAnimating::FireEvent	doc	docs/vtmb/effects.md; docs/vtmb/feeding.md
vampire.dll	101874a0	CPlayerMove::RunCommand	doc	docs/vtmb/game_runtime.md; docs/vtmb/source_movement.md
vampire.dll	10265ed0	CAI_BaseNPC::OnTakeDamageAlive	doc	docs/vtmb/combat-and-damage.md; docs/vtmb/npc-ai-reverse-engineering.md
vampire.dll	1028fb70	InitPerceptionDistances	doc	docs/vtmb/npc-ai-reverse-engineering.md; docs/vtmb/stealth.md
vampire.dll	103851e0	CNPC_VHuman::SelectIdealState	doc	docs/vtmb/animation_and_movers.md; docs/vtmb/npc-ai-reverse-engineering.md
vampire.dll	103e9e00	CWeaponMelee::RequestActivity	doc	docs/vtmb/animation_and_movers.md; docs/vtmb/combat-and-damage.md
vampire.dll	103eaca0	PrimaryAttack	doc	docs/vtmb/animation_and_movers.md; docs/vtmb/combat-and-damage.md
vampire.dll	103eaec0	CWeaponMelee::ItemPostFrame	doc	docs/vtmb/animation_and_movers.md; docs/vtmb/combat-and-damage.md
StudioRender.dll	2c00eba0	ConcatTransforms	doc	docs/vtmb/animation_and_movers.md
client.dll	1008f5c0	C_BaseEntity::~C_BaseEntity	doc	docs/vtmb/animation_and_movers.md
client.dll	10093e40	IsSkinCrossfading	doc	docs/vtmb/entity_io.md
client.dll	1009f300	C_BaseAnimating::ShadowCastType	doc	docs/vtmb/entity_visuals.md
client.dll	100a5910	ShouldDrawLocalPlayer	doc	docs/vtmb/camera-view-modes.md
client.dll	100c04d0	C_RopeKeyframe::Init	doc	docs/vtmb/entity_visuals.md
client.dll	100c3cd0	RunFlexRules	doc	docs/vtmb/facial_animation.md
client.dll	100c42f0	SetupWeights	doc	docs/vtmb/facial_animation.md
client.dll	100c4880	AddGlobalFlexController	doc	docs/vtmb/facial_animation.md
client.dll	10198ea0	ShouldDrawViewModel	doc	docs/vtmb/camera-view-modes.md
client.dll	1019d0a0	DisableFog	doc	docs/vtmb/sky-ambience.md
client.dll	1019d4c0	GetSkyboxFogColor	doc	docs/vtmb/sky-ambience.md
engine.dll	20069730	CEngineTrace::ClipRayToCollideable	doc	docs/vtmb/mdl_v2531.md
engine.dll	200775a0	RecursiveLightPoint	doc	docs/vtmb/sky-ambience.md
engine.dll	200a9ea0	FindAmbientLight	doc	docs/vtmb/sky-ambience.md
engine.dll	200b8960	CModelLoader::LoadModel	doc	docs/vtmb/animation_and_movers.md
stdshader_dx8.dll	10001ca0	SetModulationDynamicState	doc	docs/vtmb/sky-ambience.md
stdshader_dx8.dll	10016a70	ComputeModulationColor	doc	docs/vtmb/sky-ambience.md
vampire.dll	100154a1	PlayerTryStealthKillThunk	doc	docs/vtmb/stealth.md
vampire.dll	10072e40	CChoreoScene::Process	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10081b60	OnSceneFinished	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10082ee0	CSceneEntity::DispatchStartEvent	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	10083cd0	CSceneEntity::FindNamedEntity	doc	docs/vtmb/choreographed_scenes.md
vampire.dll	1008f120	CBaseAnimating::StudioFrameAdvance	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10091880	CBaseAnimating::DispatchAnimEvents	doc	docs/vtmb/animation_and_movers.md
vampire.dll	100cb750	CCameraTrack::TrackThink	doc	docs/vtmb/camera-view-modes.md
vampire.dll	100cfac0	CEventQueue::ServiceEvents	doc	docs/vtmb/game_runtime.md
vampire.dll	100e05f0	CDialog::Acquire	doc	docs/vtmb/game_runtime.md
vampire.dll	100ed150	CDispositionTable::GetTransitionAnim	doc	docs/vtmb/animation_and_movers.md
vampire.dll	100ef060	CBaseDoor::Spawn	doc	docs/vtmb/audio_pipeline.md
vampire.dll	1011e310	GetPlayerMins	doc	docs/vtmb/source_movement.md
vampire.dll	1011e350	GetPlayerMaxs	doc	docs/vtmb/source_movement.md
vampire.dll	1011e560	CategorizePosition	doc	docs/vtmb/source_movement.md
vampire.dll	1011e940	UpdateStepSound	doc	docs/vtmb/source_movement.md
vampire.dll	1011ef20	ComputeConstraintSpeedFactor	doc	docs/vtmb/source_movement.md
vampire.dll	1011fa80	FinishGravity	doc	docs/vtmb/source_movement.md
vampire.dll	101200c0	WaterMove	doc	docs/vtmb/source_movement.md
vampire.dll	10121000	AirAccelerate	doc	docs/vtmb/source_movement.md
vampire.dll	10122190	FullNoClipMove	doc	docs/vtmb/source_movement.md
vampire.dll	10125db0	CheckFalling	doc	docs/vtmb/source_movement.md
vampire.dll	101265d0	CanUnduck	doc	docs/vtmb/source_movement.md
vampire.dll	101269e0	FinishUnDuck	doc	docs/vtmb/source_movement.md
vampire.dll	10126cb0	FinishDuck	doc	docs/vtmb/source_movement.md
vampire.dll	10126fd0	CGameMovement::Duck	doc	docs/vtmb/controls.md
vampire.dll	10127b00	PlayerMove	doc	docs/vtmb/source_movement.md
vampire.dll	10147a60	DisciplineGlobalTeardown	doc	docs/vtmb/entity_io.md
vampire.dll	101606e0	PlayerKnockbackReaction	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10160bc0	PlayerDefenderBlockReaction	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10160d00	PlayerAttackerBlockedReaction	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10160dc0	IsInComboWindow	doc	docs/vtmb/combat-and-damage.md
vampire.dll	10162c30	CBasePlayer::TraceAttack	doc	docs/vtmb/combat-and-damage.md
vampire.dll	10164240	CBasePlayer::SetAnimation	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10167320	PlayerStealthKillEligibility	doc	docs/vtmb/stealth.md
vampire.dll	10167370	PlayerTryStealthKill	doc	docs/vtmb/stealth.md
vampire.dll	10168320	CBasePlayer::Replenish	doc	docs/vtmb/feeding.md
vampire.dll	10168700	CBasePlayer::BeFedOnByZombie	doc	docs/vtmb/animation_and_movers.md
vampire.dll	1016b090	UpdateButtonState	doc	docs/vtmb/game_runtime.md
vampire.dll	1016be10	CBasePlayer::PostThink	doc	docs/vtmb/animation_and_movers.md
vampire.dll	10174ce0	CBasePlayer::ItemPostFrame	doc	docs/vtmb/combat-and-damage.md
vampire.dll	10174f80	CBasePlayer::GetSaveBlockedReason	doc	docs/vtmb/entity_io.md
vampire.dll	101755d0	CBasePlayer::UpdateClientActionState	doc	docs/vtmb/stealth.md
vampire.dll	1017f2a0	PlayerCriminalIncident	doc	docs/vtmb/player-entity.md
vampire.dll	1017f4a0	PlayerSupernaturalIncident	doc	docs/vtmb/player-entity.md
vampire.dll	10185f90	CheckMovingGround	doc	docs/vtmb/game_runtime.md
